import time: self [us] | cumulative | imported package
import time:       510 |       7216 |                       torch.onnx._internal.diagnostics.infra.sarif._thread_flow
import time:       463 |       7678 |                     torch.onnx._internal.diagnostics.infra.sarif._code_flow
import time:       544 |        544 |                       torch.onnx._internal.diagnostics.infra.sarif._reporting_configuration
import time:       490 |       1033 |                     torch.onnx._internal.diagnostics.infra.sarif._configuration_override
import time:      9067 |       9067 |                           torch.onnx._internal.diagnostics.infra.sarif._exception
import time:       705 |       9772 |                         torch.onnx._internal.diagnostics.infra.sarif._notification
import time:      1076 |      10848 |                       torch.onnx._internal.diagnostics.infra.sarif._invocation
import time:       528 |        528 |                             torch.onnx._internal.diagnostics.infra.sarif._reporting_descriptor_relationship
import time:       788 |       1316 |                           torch.onnx._internal.diagnostics.infra.sarif._reporting_descriptor
import time:       670 |        670 |                           torch.onnx._internal.diagnostics.infra.sarif._translation_metadata
import time:      1184 |       3169 |                         torch.onnx._internal.diagnostics.infra.sarif._tool_component
import time:       649 |       3818 |                       torch.onnx._internal.diagnostics.infra.sarif._tool
import time:       505 |      15170 |                     torch.onnx._internal.diagnostics.infra.sarif._conversion
import time:       597 |        597 |                     torch.onnx._internal.diagnostics.infra.sarif._edge
import time:       663 |        663 |                     torch.onnx._internal.diagnostics.infra.sarif._edge_traversal
import time:       646 |        646 |                         torch.onnx._internal.diagnostics.infra.sarif._node
import time:       535 |       1180 |                       torch.onnx._internal.diagnostics.infra.sarif._graph
import time:       491 |        491 |                         torch.onnx._internal.diagnostics.infra.sarif._fix
import time:       598 |        598 |                         torch.onnx._internal.diagnostics.infra.sarif._graph_traversal
import time:       564 |        564 |                         torch.onnx._internal.diagnostics.infra.sarif._result_provenance
import time:       614 |        614 |                         torch.onnx._internal.diagnostics.infra.sarif._suppression
import time:      1427 |       3693 |                       torch.onnx._internal.diagnostics.infra.sarif._result
import time:      1126 |       5998 |                     torch.onnx._internal.diagnostics.infra.sarif._external_properties
import time:       657 |        657 |                     torch.onnx._internal.diagnostics.infra.sarif._external_property_file_reference
import time:       886 |        886 |                     torch.onnx._internal.diagnostics.infra.sarif._external_property_file_references
import time:       668 |        668 |                       torch.onnx._internal.diagnostics.infra.sarif._run_automation_details
import time:       447 |        447 |                       torch.onnx._internal.diagnostics.infra.sarif._special_locations
import time:       574 |        574 |                       torch.onnx._internal.diagnostics.infra.sarif._version_control_details
import time:      1160 |       2847 |                     torch.onnx._internal.diagnostics.infra.sarif._run
import time:       564 |        564 |                     torch.onnx._internal.diagnostics.infra.sarif._sarif_log
import time:       551 |      43898 |                   torch.onnx._internal.diagnostics.infra.sarif
import time:       394 |      45446 |                 torch.onnx._internal.diagnostics.infra.formatter
import time:      2539 |      48560 |               torch.onnx._internal.diagnostics.infra._infra
import time:       743 |        743 |                 gzip
import time:       264 |        264 |                 torch.onnx._internal.diagnostics.infra.utils
import time:       324 |        324 |                 torch.onnx._internal.diagnostics.infra.sarif.version
import time:      1294 |       2623 |               torch.onnx._internal.diagnostics.infra.engine
import time:       294 |      51476 |             torch.onnx._internal.diagnostics.infra
import time:       417 |      51893 |           torch.onnx._internal.diagnostics._diagnostic
import time:       866 |        866 |           torch.onnx._internal.diagnostics._rules
import time:       386 |      53145 |         torch.onnx._internal.diagnostics
import time:       323 |      53936 |       torch.onnx.errors
import time:       534 |        534 |           torch.onnx._type_utils
import time:       587 |        587 |             torch.onnx._internal.registration
import time:       794 |       1381 |           torch.onnx._internal.jit_utils
import time:       663 |       2577 |         torch.onnx.symbolic_helper
import time:      3047 |       3047 |         torch.onnx.symbolic_opset9
import time:       375 |       5997 |       torch.onnx.symbolic_caffe2
import time:       413 |        413 |       torch.onnx.symbolic_opset7
import time:       588 |        588 |       torch.onnx.symbolic_opset8
import time:       903 |        903 |       torch.onnx.symbolic_opset10
import time:       387 |        387 |                     torch.jit._dataclass_impls
import time:       426 |        426 |                       monkeytype
import time:       498 |        923 |                     torch.jit._monkeytype_config
import time:       320 |        320 |                       torch.jit._state
import time:       486 |        805 |                     torch.jit.annotations
import time:       268 |        268 |                     astunparse
import time:       628 |       3009 |                   torch.jit.frontend
import time:       410 |        410 |                     torch.backends.cudnn
import time:       444 |        854 |                   torch.jit._builtins
import time:       282 |        282 |                   torch.jit._check
import time:       749 |       4893 |                 torch.jit._recursive
import time:       299 |        299 |                 torch.jit._fuser
import time:       303 |        303 |                 torch.jit._serialization
import time:       312 |        312 |                 torch._classes
import time:       405 |        405 |                 torch.distributed.autograd
import time:      2220 |       8430 |               torch.jit._script
import time:       684 |        684 |               torch.jit._trace
import time:       252 |        252 |               torch.jit._async
import time:       226 |        226 |               torch.jit._await
import time:       230 |        230 |               torch.jit._decomposition_utils
import time:       274 |        274 |               torch.jit._freeze
import time:       263 |        263 |               torch.jit._ir_utils
import time:       495 |      10850 |             torch.jit
import time:        20 |      10870 |           torch.jit._trace
import time:      1220 |       1220 |             zipfile
import time:       423 |       1643 |           torch.onnx._internal.onnx_proto_utils
import time:       643 |      13156 |         torch.onnx.utils
import time:       879 |      14034 |       torch.onnx.symbolic_opset11
import time:       515 |        515 |       torch.onnx.symbolic_opset12
import time:       427 |        427 |       torch.onnx.symbolic_opset13
import time:       293 |        293 |       torch.onnx.symbolic_opset14
import time:       252 |        252 |       torch.onnx.symbolic_opset15
import time:       293 |        293 |       torch.onnx.symbolic_opset16
import time:       244 |        244 |       torch.onnx.symbolic_opset17
